title,cuisines,reviews,star rating,restaurant serial number,cuisines_melt,cuisines_all
Wiener Wiaz Haus,"European, Central European",1723,4.5,1,cuisine_1,European
ef16 Restaurant,"Austrian, European",2931,4.5,2,cuisine_1,Austrian
Bauernbraeu,"German, Austrian",401,4.5,3,cuisine_1,German
Ariston Hellenic Restaurant,"Mediterranean, Greek",489,5.0,4,cuisine_1,Mediterranean
Sixta Restaurant Bar,"Austrian, European",1255,5.0,5,cuisine_1,Austrian
Wolfgang Puck Kitchen + Bar,"American, Austrian",500,5.0,6,cuisine_1,American
Restaurant Wiener Wirtschaft,"German, Austrian",668,4.5,7,cuisine_1,German
DASANABOL. - Marina Tower,"Cafe, Healthy",159,5.0,8,cuisine_1,Cafe
Vier Sinne - Dinner in the Dark Wien,European,151,5.0,9,cuisine_1,European
Apron Restaurant,"International, European",440,5.0,10,cuisine_1,International
XXL Restaurant Leopoldauer Alm,"German, Austrian",2509,4.5,11,cuisine_1,German
Vienna Sausage,"Austrian, Fast Food",621,4.5,12,cuisine_1,Austrian
Marcodi,"Italian, Seafood",237,5.0,13,cuisine_1,Italian
Ganesha Indian Cuisine,"Indian, Healthy",1796,5.0,14,cuisine_1,Indian
Vanillas Wien,"Coffee & Tea, Cafe",211,5.0,15,cuisine_1,Coffee & Tea
Restaurant Markt58,"Austrian, European",195,4.5,16,cuisine_1,Austrian
YOU.,"International, European",389,4.5,17,cuisine_1,International
Sri Nataraja indisches Restaurant,"Indian, Asian",1131,4.5,18,cuisine_1,Indian
Vollpension in der Johannesgasse,"Austrian, Cafe",216,5.0,19,cuisine_1,Austrian
Oak 107 Smokehouse Vienna,"American, Steakhouse",149,4.5,20,cuisine_1,American
Vinothek W-Einkehr,Austrian,604,4.5,21,cuisine_1,Austrian
Loca,"International, Healthy",1436,4.5,22,cuisine_1,International
Lola - Spanisches Tapas Restaurant,"Mediterranean, European",731,4.5,23,cuisine_1,Mediterranean
Om namo,"Indian, Asian",340,5.0,24,cuisine_1,Indian
Pauli,"Austrian, International",1322,4.5,25,cuisine_1,Austrian
Restaurant Lebenbauer,"International, Fusion",858,4.5,26,cuisine_1,International
Rado's Gastwirtschaft seit 1904,"Austrian, European",314,4.5,27,cuisine_1,Austrian
Spice of India,"Indian, Asian",639,4.5,28,cuisine_1,Indian
Restaurant Marks,"Austrian, Bar",394,4.5,29,cuisine_1,Austrian
Mini Restaurant,"International, European",2008,4.5,30,cuisine_1,International
Al Borgo,"Italian, NorthernItalian",1855,4.5,31,cuisine_1,Italian
Indien Village,"Indian, Asian",765,4.5,32,cuisine_1,Indian
Marx Bier Und Mehr,"Austrian, European",133,4.5,33,cuisine_1,Austrian
Veranda Brasserie & Bar,"Austrian, European",672,4.5,34,cuisine_1,Austrian
Gasthaus Elsner,"German, Austrian",343,4.5,35,cuisine_1,German
Casino Restaurant Wien,"Austrian, International",610,4.5,36,cuisine_1,Austrian
Leto,"Seafood, International",794,4.5,37,cuisine_1,Seafood
Restaurant Rote Bar,"Austrian, European",800,4.5,38,cuisine_1,Austrian
Door No 8 The Steakhouse,"Steakhouse, Barbecue",652,4.5,39,cuisine_1,Steakhouse
Ilona Stuberl,"Austrian, Eastern European",1587,4.5,40,cuisine_1,Austrian
Schachtelwirt,"Austrian, Fast Food",997,4.5,41,cuisine_1,Austrian
Wiener,"Austrian, European",514,4.5,42,cuisine_1,Austrian
Eissalon Caffe Perrella,"Coffee & Tea, Italian",193,4.5,43,cuisine_1,Coffee & Tea
Schlawiener,"Austrian, Bar",340,4.5,44,cuisine_1,Austrian
Liebsteinsky,"Austrian, Mediterranean",403,4.5,45,cuisine_1,Austrian
The Cake Tree,"Coffee & Tea, Cafe",158,5.0,46,cuisine_1,Coffee & Tea
Edvard,"International, European",416,4.5,47,cuisine_1,International
Kolar,"Bar, European",669,4.5,48,cuisine_1,Bar
Salettl am Campus,"Bar, Street Food",117,5.0,49,cuisine_1,Bar
La Sosta,"Italian, Pizza",833,4.5,50,cuisine_1,Italian
Eis Greissler,Dessert,667,4.5,51,cuisine_1,Dessert
Hemma Scandinavian Feeling,"European, Swedish",75,5.0,52,cuisine_1,European
BrauBar,"German, Austrian",717,4.5,53,cuisine_1,German
Trattoria Toscana La No,"Italian, Mediterranean",1079,4.5,54,cuisine_1,Italian
Veganista Ice Cream,Dessert,447,4.5,55,cuisine_1,Dessert
Zum Alten Fassl,"Austrian, European",679,4.5,56,cuisine_1,Austrian
Leberkas- Pepi,"Austrian, Fast Food",359,4.5,57,cuisine_1,Austrian
Silvio Nickol Gourmet Restaurant,,589,4.5,58,cuisine_1,
Restaurant Mythos Fisch und Lamm,"Mediterranean, European",618,4.5,59,cuisine_1,Mediterranean
Chilai Landstraße,"Cafe, International",281,4.5,60,cuisine_1,Cafe
Buxbaum Restaurant,"Austrian, International",910,4.5,61,cuisine_1,Austrian
Schank Zum Reichsapfel,"Austrian, European",208,4.5,62,cuisine_1,Austrian
Swing Kitchen,"American, Fast Food",332,4.5,63,cuisine_1,American
Mraz & Sohn,"International, European",412,4.5,64,cuisine_1,International
DiningRuhm,"Japanese, Sushi",246,4.5,65,cuisine_1,Japanese
Pulkautaler Wein & Bierhaus,"Austrian, European",535,4.5,66,cuisine_1,Austrian
Melker Stiftskeller,"German, Austrian",783,4.5,67,cuisine_1,German
