title,cuisines,reviews,star rating,page number,data offset,restaurant serial number
Wiener Wiaz Haus,"European, Central European",1723,4.5,0,0,1
ef16 Restaurant,"Austrian, European",2929,4.5,0,0,2
Bauernbraeu,"German, Austrian",401,4.5,0,0,3
Ariston Hellenic Restaurant,"Mediterranean, Greek",489,5.0,0,0,4
Sixta Restaurant Bar,"Austrian, European",1253,5.0,0,0,5
Wolfgang Puck Kitchen + Bar,"American, Austrian",499,5.0,0,0,6
Restaurant Wiener Wirtschaft,"German, Austrian",666,4.5,0,0,7
DASANABOL. - Marina Tower,"Cafe, Healthy",159,5.0,0,0,8
Vier Sinne - Dinner in the Dark Wien,European,151,5.0,0,0,9
Apron Restaurant,"International, European",440,5.0,0,0,10
XXL Restaurant Leopoldauer Alm,"German, Austrian",2509,4.5,0,0,11
Vienna Sausage,"Austrian, Fast Food",621,4.5,0,0,12
Marcodi,"Italian, Seafood",237,5.0,0,0,13
Ganesha Indian Cuisine,"Indian, Healthy",1795,5.0,0,0,14
Vanillas Wien,"Coffee & Tea, Cafe",211,5.0,0,0,15
Restaurant Markt58,"Austrian, European",194,4.5,0,0,16
Sri Nataraja indisches Restaurant,"Indian, Asian",1131,4.5,0,0,17
YOU.,"International, European",389,4.5,0,0,18
Vollpension in der Johannesgasse,"Austrian, Cafe",216,5.0,0,0,19
Oak 107 Smokehouse Vienna,"American, Steakhouse",149,4.5,0,0,20
Vinothek W-Einkehr,Austrian,604,4.5,0,0,21
Loca,"International, Healthy",1435,4.5,0,0,22
Lola - Spanisches Tapas Restaurant,"Mediterranean, European",731,4.5,0,0,23
Om namo,"Indian, Asian",340,5.0,0,0,24
Pauli,"Austrian, International",1321,4.5,0,0,25
Restaurant Lebenbauer,"International, Fusion",858,4.5,0,0,26
Rado's Gastwirtschaft seit 1904,"Austrian, European",313,4.5,0,0,27
Spice of India,"Indian, Asian",639,4.5,0,0,28
Restaurant Marks,"Austrian, Bar",394,4.5,0,0,29
Mini Restaurant,"International, European",2008,4.5,0,0,30
Al Borgo,"Italian, Northern-Italian",1855,4.5,1,30,31
Indien Village,"Indian, Asian",765,4.5,1,30,32
Marx Bier Und Mehr,"Austrian, European",133,4.5,1,30,33
Veranda Brasserie & Bar,"Austrian, European",673,4.5,1,30,34
Gasthaus Elsner,"German, Austrian",343,4.5,1,30,35
Casino Restaurant Wien,"Austrian, International",610,4.5,1,30,36
Leto,"Seafood, International",794,4.5,1,30,37
Restaurant Rote Bar,"Austrian, European",799,4.5,1,30,38
Door No 8 The Steakhouse,"Steakhouse, Barbecue",652,4.5,1,30,39
Ilona Stuberl,"Austrian, Eastern European",1587,4.5,1,30,40
Schachtelwirt,"Austrian, Fast Food",997,4.5,1,30,41
Wiener,"Austrian, European",514,4.5,1,30,42
Eissalon Caffe Perrella,"Coffee & Tea, Italian",193,4.5,1,30,43
Schlawiener,"Austrian, Bar",340,4.5,1,30,44
Liebsteinsky,"Austrian, Mediterranean",403,4.5,1,30,45
The Cake Tree,"Coffee & Tea, Cafe",158,5.0,1,30,46
Edvard,"International, European",416,4.5,1,30,47
Kolar,"Bar, European",669,4.5,1,30,48
Salettl am Campus,"Bar, Street Food",117,5.0,1,30,49
La Sosta,"Italian, Pizza",833,4.5,1,30,50
Eis Greissler,Dessert,667,4.5,1,30,51
BrauBar,"German, Austrian",717,4.5,1,30,52
Trattoria Toscana La No,"Italian, Mediterranean",1078,4.5,1,30,53
Veganista Ice Cream,Dessert,447,4.5,1,30,54
Zum Alten Fassl,"Austrian, European",679,4.5,1,30,55
Leberkas- Pepi,"Austrian, Fast Food",359,4.5,1,30,56
Hemma Scandinavian Feeling,"European, Swedish",75,5.0,1,30,57
Silvio Nickol Gourmet Restaurant,$$$$,589,4.5,1,30,58
Restaurant Mythos Fisch und Lamm,"Mediterranean, European",618,4.5,1,30,59
Chilai Landstraße,"Cafe, International",280,4.5,1,30,60
Buxbaum Restaurant,"Austrian, International",909,4.5,2,60,61
Schank Zum Reichsapfel,"Austrian, European",208,4.5,2,60,62
Swing Kitchen,"American, Fast Food",332,4.5,2,60,63
Mraz & Sohn,"International, European",412,4.5,2,60,64
DiningRuhm,"Japanese, Sushi",246,4.5,2,60,65
Pulkautaler Wein & Bierhaus,"Austrian, European",535,4.5,2,60,66
Melker Stiftskeller,"German, Austrian",782,4.5,2,60,67
Family and Friends,"Austrian, International",451,4.5,2,60,68
Feinkosterei Judenplatz,"Austrian, European",494,4.5,2,60,69
Skopik & Lohn,"Austrian, European",838,4.5,2,60,70
Steak Point,"Steakhouse, Barbecue",446,4.5,2,60,71
KitchA - Sticks & Rolls,"Sushi, Asian",335,4.5,2,60,72
Huth Gastwirtschaft,"Austrian, European",1349,4.5,2,60,73
Pizzeria Osteria da Giovanni,"Italian, Pizza",1139,4.5,2,60,74
Swing Kitchen,"Quick Bites, Fast Food",465,4.5,2,60,75
Restaurant Entler,"Austrian, European",521,4.5,2,60,76
D'Landsknecht,"German, Austrian",401,4.5,2,60,77
Let's be Frank,"Austrian, European",390,4.5,2,60,78
Zu Ebener Erde Und Erster Stock,"Austrian, European",615,4.5,2,60,79
Budapest Bistro,"Coffee & Tea, Cafe",305,4.5,2,60,80
Grill house da Max,"Steakhouse, Barbecue",636,4.5,2,60,81
Ribs of Vienna,"Austrian, Bar",3950,4.5,2,60,82
AROI THAI Restaurant,"Asian, Thai",388,4.5,2,60,83
BLOCK HOUSE Am Naschmarkt,"American, Steakhouse",452,4.5,2,60,84
Addicted To Rock Bar & Burger,"Coffee & Tea, American",341,4.5,2,60,85
Mochi,"Japanese, Sushi",691,4.5,2,60,86
Ethiopian Restaurant - Cafe Lalibela,"African, Ethiopian",145,5.0,2,60,87
Trzesniewski Dorotheergasse,"Austrian, Fast Food",1498,4.5,2,60,88
Yori,"Barbecue, Asian",456,4.5,2,60,89
Taste of India,"Indian, International",473,4.5,2,60,90
Der Ringsmuth,"Austrian, European",438,4.5,3,90,91
Café Benedikt,"Austrian, Cafe",121,5.0,3,90,92
LENZ - Social Dining,"Austrian, International",83,5.0,3,90,93
The Bank Brasserie & Bar,"International, European",827,4.5,3,90,94
Rosnowsky,"German, Austrian",708,4.5,3,90,95
Nestroy Gasthaus & Biergarten,"German, Austrian",434,4.5,3,90,96
GO!Wien,"Austrian, Bar",610,4.5,3,90,97
Waldviertlerhof,"Austrian, European",448,4.5,3,90,98
Steirereck,"Austrian, European",2043,4.5,3,90,99
Huber's Essen & Trinken,"Austrian, European",239,4.5,3,90,100
Zum Wohl - Gasthaus,"Austrian, International",513,4.5,3,90,101
TIAN Restaurant Wien,"European, Healthy",1119,4.5,3,90,102
Quell,"Austrian, European",225,4.5,3,90,103
Pho Saigon,"Asian, Vietnamese",588,4.5,3,90,104
Le Burger,"American, Fast Food",1337,4.5,3,90,105
Zum Weissen Rauchfangkehrer - The White Chimneysweep,"Austrian, European",1882,4.0,3,90,106
Mel's Diner,"Bars & Pubs, American",427,4.5,3,90,107
The Guesthouse Brasserie & Bakery,"Austrian, Cafe",430,4.5,3,90,108
